iter	Passed	Remaining
0	129	129770
1	131	65387
2	131	43846
3	134	33552
4	136	27092
5	137	22713
6	138	19578
7	139	17283
8	141	15541
9	141	14050
10	143	12910
11	144	11904
12	145	11027
13	145	10275
14	146	9629
15	147	9058
16	148	8559
17	148	8110
18	149	7709
19	149	7345
20	150	7019
21	151	6732
22	152	6457
23	152	6205
24	154	6008
25	155	5823
26	156	5629
27	156	5447
28	157	5275
29	158	5118
30	159	4970
31	159	4833
32	161	4735
33	162	4611
34	162	4491
35	163	4378
36	164	4273
37	164	4171
38	165	4074
39	165	3982
40	167	3915
41	168	3833
42	168	3759
43	169	3690
44	170	3618
45	171	3548
46	171	3482
47	173	3450
48	174	3391
49	175	3334
50	176	3278
51	176	3222
52	177	3169
53	178	3126
54	179	3092
55	180	3045
56	181	2999
57	182	2956
58	182	2913
59	183	2872
60	184	2846
61	185	2812
62	186	2774
63	187	2738
64	187	2703
65	188	2668
66	189	2635
67	189	2601
68	191	2589
69	192	2558
70	193	2527
71	194	2502
72	194	2473
73	195	2445
74	196	2417
75	198	2409
76	198	2383
77	199	2357
78	200	2333
79	200	2309
80	201	2285
81	202	2261
82	202	2236
83	204	2225
84	204	2203
85	205	2182
86	206	2165
87	207	2146
88	208	2129
89	209	2118
90	210	2100
91	210	2082
92	211	2064
93	212	2046
94	213	2029
95	213	2012
96	214	1996
97	215	1986
98	216	1970
99	217	1953
100	217	1937
101	218	1921
102	218	1905
103	219	1890
104	220	1875
105	221	1866
106	222	1858
107	223	1845
108	224	1832
109	225	1823
110	226	1810
111	226	1798
112	228	1793
113	229	1781
114	229	1768
115	230	1756
116	231	1743
117	231	1730
118	232	1719
119	232	1707
120	234	1703
121	235	1692
122	235	1681
123	236	1671
124	237	1660
125	237	1649
126	238	1637
127	238	1626
128	239	1619
129	240	1611
130	241	1601
131	242	1592
132	242	1582
133	243	1572
134	243	1563
135	244	1553
136	245	1544
137	246	1541
138	247	1533
139	248	1525
140	249	1517
141	249	1507
142	250	1498
143	250	1490
144	251	1483
145	253	1483
146	254	1475
147	255	1468
148	255	1460
149	256	1452
150	257	1445
151	257	1437
152	259	1434
153	259	1427
154	260	1420
155	261	1413
156	261	1406
157	262	1398
158	263	1392
159	263	1385
160	264	1379
161	266	1376
162	266	1369
163	267	1362
164	267	1355
165	268	1349
166	269	1342
167	269	1336
168	270	1331
169	272	1328
170	272	1321
171	273	1315
172	274	1309
173	274	1303
174	275	1296
175	275	1291
176	276	1285
177	278	1284
178	279	1280
179	279	1274
180	280	1268
181	281	1263
182	281	1256
183	282	1251
184	284	1254
185	285	1250
186	286	1246
187	287	1241
188	287	1235
189	288	1230
190	290	1231
191	292	1229
192	292	1223
193	293	1218
194	293	1213
195	294	1208
196	295	1204
197	296	1202
198	297	1198
199	298	1193
200	299	1188
201	299	1183
202	300	1178
203	300	1173
204	301	1168
205	301	1163
206	302	1159
207	303	1155
208	303	1150
209	304	1145
210	304	1140
211	305	1135
212	306	1131
213	306	1127
214	307	1122
215	308	1119
216	309	1116
217	309	1111
218	310	1107
219	311	1103
220	311	1099
221	312	1095
222	313	1091
223	313	1087
224	315	1085
225	315	1082
226	316	1077
227	317	1073
228	317	1069
